case_id,category,ai_root_cause,ai_osi_layer,ai_confidence,ai_evidence,ai_next_command,ai_fix_steps,parse_status,raw_response
C011,DHCP,"DHCP pool VLAN10 is misconfigured to serve network 192.168.20.0/24 instead of the intended 192.168.10.0/24, causing PCs to receive wrong subnet",Layer 3,high,"show ip dhcp pool shows Pool VLAN10: network 192.168.20.0 255.255.255.0, which does not match the expected VLAN10 subnet",show ip dhcp binding,Edit pool VLAN10: change network to 192.168.10.0 255.255.255.0 | Verify no overlapping pools: show ip dhcp pool | Clear stale bindings: clear ip dhcp binding * | Restart DHCP service if needed: clear ip dhcp pool VLAN10,ok,"{""root_cause"": ""DHCP pool VLAN10 is misconfigured to serve network 192.168.20.0/24 instead of the intended 192.168.10.0/24, causing PCs to receive wrong subnet"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip dhcp pool shows Pool VLAN10: network 192.168.20.0 255.255.255.0, which does not match the expected VLAN10 subnet"", ""next_command"": ""show ip dhcp binding"", ""fix_steps"": [""Edit pool VLAN10: change network to 192.168.10.0 255.255.255.0"", ""Verify no overlapping pools: show ip dhcp pool"", ""Clear stale bindings: clear ip dhcp binding *"", ""Restart DHCP service if needed: clear ip dhcp pool VLAN10""], ""category"": ""DHCP""}"
C012,DHCP,"DHCP lease time set to 2 minutes causes the PC to renew too frequently, leading to intermittent network drops",Layer 3,medium,"show ip dhcp pool VLAN30 shows Lease: 0 days 0 hours 2 minutes, indicating an unusually short lease",show ip dhcp binding,"Increase the lease time to a more reasonable value, e.g., 12 hours | Verify the client receives the new lease with show ip dhcp binding | Test connectivity after applying the new lease time",ok,"{""root_cause"": ""DHCP lease time set to 2 minutes causes the PC to renew too frequently, leading to intermittent network drops"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.6, ""evidence"": ""show ip dhcp pool VLAN30 shows Lease: 0 days 0 hours 2 minutes, indicating an unusually short lease"", ""next_command"": ""show ip dhcp binding"", ""fix_steps"": [""Increase the lease time to a more reasonable value, e.g., 12 hours"", ""Verify the client receives the new lease with show ip dhcp binding"", ""Test connectivity after applying the new lease time""], ""category"": ""DHCP""}"
C013,DNS,"DNS server 192.168.100.200 is unreachable, so hostname resolution fails",Layer 3,high,PC ipconfig /all shows DNS Servers: 192.168.100.200 (unreachable),ping 192.168.100.200,"Verify connectivity to 192.168.100.200 with ping | If unreachable, correct the DNS server IP in the PC’s network settings | Flush local DNS cache with ipconfig /flushdns | Test hostname resolution again",ok,"{""root_cause"": ""DNS server 192.168.100.200 is unreachable, so hostname resolution fails"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""PC ipconfig /all shows DNS Servers: 192.168.100.200 (unreachable)"", ""next_command"": ""ping 192.168.100.200"", ""fix_steps"": [""Verify connectivity to 192.168.100.200 with ping"", ""If unreachable, correct the DNS server IP in the PC\u2019s network settings"", ""Flush local DNS cache with ipconfig /flushdns"", ""Test hostname resolution again""], ""category"": ""DNS""}"
C014,DNS,Stale DNS A record for fileserver01 pointing to 192.168.10.50 instead of the new IP 192.168.10.60,Layer 3,high,"nslookup fileserver01 returns Address: 192.168.10.50, which is the old IP after the server was moved to .60",show ip host fileserver01,Delete the old A record from the DNS zone | Create a new A record for fileserver01 with IP 192.168.10.60 | Verify resolution with nslookup fileserver01 after TTL expires,ok,"{""root_cause"": ""Stale DNS A record for fileserver01 pointing to 192.168.10.50 instead of the new IP 192.168.10.60"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""nslookup fileserver01 returns Address: 192.168.10.50, which is the old IP after the server was moved to .60"", ""next_command"": ""show ip host fileserver01"", ""fix_steps"": [""Delete the old A record from the DNS zone"", ""Create a new A record for fileserver01 with IP 192.168.10.60"", ""Verify resolution with nslookup fileserver01 after TTL expires""], ""category"": ""DNS""}"
C015,DNS,"Router lacks a DNS forwarder; only internal DNS server is configured, so external name resolution fails",Layer 3,high,"show running-config | include name-server shows only ""ip name-server 192.168.1.10"", no external forwarder configured",ping 192.168.1.10,Add an external DNS forwarder: ip name-server 8.8.8.8 | Verify connectivity to the forwarder: ping 8.8.8.8 | Test external name resolution again,ok,"{""root_cause"": ""Router lacks a DNS forwarder; only internal DNS server is configured, so external name resolution fails"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show running-config | include name-server shows only \""ip name-server 192.168.1.10\"", no external forwarder configured"", ""next_command"": ""ping 192.168.1.10"", ""fix_steps"": [""Add an external DNS forwarder: ip name-server 8.8.8.8"", ""Verify connectivity to the forwarder: ping 8.8.8.8"", ""Test external name resolution again""], ""category"": ""DNS""}"
C016,Routing,Missing inter‑VLAN route to 192.168.10.0/24 on the L3 switch,Layer 3,medium,"show ip route output shows no entry for 192.168.10.0/24, yet PC can ping its own gateway",show ip interface brief,"Verify VLAN 10 SVI is configured and up: show vlan brief | Enable IP routing if not already: ip routing | Create or correct the VLAN 10 interface: interface Vlan10, ip address 192.168.10.1 255.255.255.0 | Re‑test connectivity with ping after changes",ok,"{""root_cause"": ""Missing inter\u2011VLAN route to 192.168.10.0/24 on the L3 switch"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.6, ""evidence"": ""show ip route output shows no entry for 192.168.10.0/24, yet PC can ping its own gateway"", ""next_command"": ""show ip interface brief"", ""fix_steps"": [""Verify VLAN 10 SVI is configured and up: show vlan brief"", ""Enable IP routing if not already: ip routing"", ""Create or correct the VLAN 10 interface: interface Vlan10, ip address 192.168.10.1 255.255.255.0"", ""Re\u2011test connectivity with ping after changes""], ""category"": ""Routing""}"
C017,Routing,"Missing static route to 10.10.0.0/16 on the branch router, preventing reachability to headquarters",Layer 3,high,"show ip route shows ""(no static route to 10.10.0.0/16)"" and no gateway of last resort",show running-config | section ip route,"Add static route: ip route 10.10.0.0 255.255.0.0 <serial-neighbor-ip> | Verify serial interface is up: show interface serial0/0 | If needed, set default gateway: ip default-gateway <next-hop>",ok,"{""root_cause"": ""Missing static route to 10.10.0.0/16 on the branch router, preventing reachability to headquarters"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip route shows \""(no static route to 10.10.0.0/16)\"" and no gateway of last resort"", ""next_command"": ""show running-config | section ip route"", ""fix_steps"": [""Add static route: ip route 10.10.0.0 255.255.0.0 <serial-neighbor-ip>"", ""Verify serial interface is up: show interface serial0/0"", ""If needed, set default gateway: ip default-gateway <next-hop>""], ""category"": ""Routing""}"
C018,Routing,"EIGRP route to 172.16.0.0 has a higher composite metric than the RIP route, so the router prefers the RIP path",Layer 3,medium,show ip route 172.16.0.0 shows two entries: AD 120 (RIP) preferred over AD 90 (EIGRP) incorrectly,show ip route 172.16.0.0 detail,Examine EIGRP metrics: show ip eigrp topology 172.16.0.0 | Adjust interface bandwidth or delay to lower EIGRP metric | Verify RIP route is still reachable and remove if unnecessary,ok,"{""root_cause"": ""EIGRP route to 172.16.0.0 has a higher composite metric than the RIP route, so the router prefers the RIP path"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.6, ""evidence"": ""show ip route 172.16.0.0 shows two entries: AD 120 (RIP) preferred over AD 90 (EIGRP) incorrectly"", ""next_command"": ""show ip route 172.16.0.0 detail"", ""fix_steps"": [""Examine EIGRP metrics: show ip eigrp topology 172.16.0.0"", ""Adjust interface bandwidth or delay to lower EIGRP metric"", ""Verify RIP route is still reachable and remove if unnecessary""], ""category"": ""Routing""}"
C019,Routing,OSPF hello interval mismatch (and/or process ID mismatch) between the two routers prevents adjacency formation,Layer 3,high,"show ip ospf interface output states ""Process ID mismatch, Hello interval mismatch"" and no neighbors appear in show ip ospf neighbor",show ip ospf interface [interface],"Verify and set identical hello intervals on both routers: interface [int], ip ospf hello-interval 10 | Ensure both routers use the same OSPF process ID: router ospf 1 | Re‑enable OSPF on the interface: no shutdown | Re‑check adjacency with show ip ospf neighbor",ok,"{""root_cause"": ""OSPF hello interval mismatch (and/or process ID mismatch) between the two routers prevents adjacency formation"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip ospf interface output states \""Process ID mismatch, Hello interval mismatch\"" and no neighbors appear in show ip ospf neighbor"", ""next_command"": ""show ip ospf interface [interface]"", ""fix_steps"": [""Verify and set identical hello intervals on both routers: interface [int], ip ospf hello-interval 10"", ""Ensure both routers use the same OSPF process ID: router ospf 1"", ""Re\u2011enable OSPF on the interface: no shutdown"", ""Re\u2011check adjacency with show ip ospf neighbor""], ""category"": ""Routing""}"
C020,ACL,"ACL FINANCE-ACL denies all traffic first (deny ip any any) before permitting finance subnet, blocking all access",Layer 3,high,show access-lists shows ACL FINANCE-ACL with line 10 deny ip any any preceding line 20 permit ip 192.168.10.0 0.0.0.255 any,show ip interface brief,Reorder ACL entries: place permit before deny | or remove the blanket deny line | apply updated ACL to the router interface: ip access-group FINANCE-ACL in,ok,"{""root_cause"": ""ACL FINANCE-ACL denies all traffic first (deny ip any any) before permitting finance subnet, blocking all access"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show access-lists shows ACL FINANCE-ACL with line 10 deny ip any any preceding line 20 permit ip 192.168.10.0 0.0.0.255 any"", ""next_command"": ""show ip interface brief"", ""fix_steps"": [""Reorder ACL entries: place permit before deny"", ""or remove the blanket deny line"", ""apply updated ACL to the router interface: ip access-group FINANCE-ACL in""], ""category"": ""ACL""}"
C021,ACL,"ACL GUEST-ISOLATION is not applied to VLAN 50 SVI, so guest traffic bypasses filtering",Layer 3,high,show ip interface Vlan50 shows (no access list configured on this interface),show access-lists GUEST-ISOLATION,"Apply ACL inbound on VLAN 50 SVI: interface Vlan50, ip access-group GUEST-ISOLATION in | Verify ACL permits/denies correct traffic | Test connectivity from guest to internal server and check ACL counters",ok,"{""root_cause"": ""ACL GUEST-ISOLATION is not applied to VLAN 50 SVI, so guest traffic bypasses filtering"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip interface Vlan50 shows (no access list configured on this interface)"", ""next_command"": ""show access-lists GUEST-ISOLATION"", ""fix_steps"": [""Apply ACL inbound on VLAN 50 SVI: interface Vlan50, ip access-group GUEST-ISOLATION in"", ""Verify ACL permits/denies correct traffic"", ""Test connectivity from guest to internal server and check ACL counters""], ""category"": ""ACL""}"
C022,ACL,ACL 10 permits only host 192.168.30.5; all other hosts are blocked by ACL 20 deny any any,Layer 3,high,"""show access-lists"" shows ACL 10: permit ip host 192.168.30.5 any, followed by ACL 20: deny ip any any, blocking other subnet hosts",show ip interface brief,Modify ACL 10 to permit the entire subnet: permit ip 192.168.30.0 0.0.0.255 any | Place the subnet permit before the deny any any statement | Verify the ACL is applied to the correct interface and direction,ok,"{""root_cause"": ""ACL 10 permits only host 192.168.30.5; all other hosts are blocked by ACL 20 deny any any"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""\""show access-lists\"" shows ACL 10: permit ip host 192.168.30.5 any, followed by ACL 20: deny ip any any, blocking other subnet hosts"", ""next_command"": ""show ip interface brief"", ""fix_steps"": [""Modify ACL 10 to permit the entire subnet: permit ip 192.168.30.0 0.0.0.255 any"", ""Place the subnet permit before the deny any any statement"", ""Verify the ACL is applied to the correct interface and direction""], ""category"": ""ACL""}"
C023,ACL,"ACL MGMT-ACL only permits host 10.0.0.5, blocking SSH from any other IPs",Layer 3,high,"show access-lists MGMT-ACL shows only ""10 permit host 10.0.0.5"" and no entries for the new admin IP",show access-lists MGMT-ACL,Add permit for the new admin IP: access-list MGMT-ACL permit host <new_ip> | Verify ACL is applied to all VTY lines: show line vty | Test SSH connectivity from the new IP,ok,"{""root_cause"": ""ACL MGMT-ACL only permits host 10.0.0.5, blocking SSH from any other IPs"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show access-lists MGMT-ACL shows only \""10 permit host 10.0.0.5\"" and no entries for the new admin IP"", ""next_command"": ""show access-lists MGMT-ACL"", ""fix_steps"": [""Add permit for the new admin IP: access-list MGMT-ACL permit host <new_ip>"", ""Verify ACL is applied to all VTY lines: show line vty"", ""Test SSH connectivity from the new IP""], ""category"": ""ACL""}"
C024,NAT,"NAT not enabled on any interface; no inside/outside assignments, so PAT cannot translate traffic",Layer 3,medium,"show running-config | include ip nat shows no ""ip nat inside"" or ""ip nat outside"" on interfaces; show ip nat translations is empty",show running-config interface GigabitEthernet0/0,"Configure NAT on interfaces: interface GigabitEthernet0/0, ip nat inside | Configure NAT on outside interface: interface GigabitEthernet0/1, ip nat outside | Define ACL for inside traffic: access-list 1 permit 192.168.0.0 0.0.0.255 | Apply ACL to inside interface: interface GigabitEthernet0/0, ip nat inside source list 1 interface GigabitEthernet0/1 overload",ok,"{""root_cause"": ""NAT not enabled on any interface; no inside/outside assignments, so PAT cannot translate traffic"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.6, ""evidence"": ""show running-config | include ip nat shows no \""ip nat inside\"" or \""ip nat outside\"" on interfaces; show ip nat translations is empty"", ""next_command"": ""show running-config interface GigabitEthernet0/0"", ""fix_steps"": [""Configure NAT on interfaces: interface GigabitEthernet0/0, ip nat inside"", ""Configure NAT on outside interface: interface GigabitEthernet0/1, ip nat outside"", ""Define ACL for inside traffic: access-list 1 permit 192.168.0.0 0.0.0.255"", ""Apply ACL to inside interface: interface GigabitEthernet0/0, ip nat inside source list 1 interface GigabitEthernet0/1 overload""], ""category"": ""NAT""}"
C025,NAT,"NAT ACL NAT-ACL only permits 192.168.10.0/24, so hosts in 192.168.20.0/24 are not translated and cannot reach the Internet",Layer 3,high,"show access-lists NAT-ACL displays only ""10 permit 192.168.10.0 0.0.0.255"" and omits the 192.168.20.0 subnet",show ip nat statistics,Add 192.168.20.0 0.0.0.255 to NAT-ACL: access-list NAT-ACL permit 192.168.20.0 0.0.0.255 | Reload or reapply NAT configuration: ip nat inside source list NAT-ACL interface <outside> overload | Verify translation with ping from a 192.168.20.x host to an external IP,ok,"{""root_cause"": ""NAT ACL NAT-ACL only permits 192.168.10.0/24, so hosts in 192.168.20.0/24 are not translated and cannot reach the Internet"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show access-lists NAT-ACL displays only \""10 permit 192.168.10.0 0.0.0.255\"" and omits the 192.168.20.0 subnet"", ""next_command"": ""show ip nat statistics"", ""fix_steps"": [""Add 192.168.20.0 0.0.0.255 to NAT-ACL: access-list NAT-ACL permit 192.168.20.0 0.0.0.255"", ""Reload or reapply NAT configuration: ip nat inside source list NAT-ACL interface <outside> overload"", ""Verify translation with ping from a 192.168.20.x host to an external IP""], ""category"": ""NAT""}"
C026,NAT,"Static NAT entry for 192.168.10.100 is missing, so external traffic cannot be translated to the internal server",Layer 3,high,show ip nat translations shows (no static entry for 192.168.10.100),show running-config | section ip nat inside source static,Configure static NAT: ip nat inside source static 192.168.10.100 interface <outside> 80 | Verify port forwarding: ip nat inside source static 192.168.10.100 interface <outside> 80 | Test external access with a web browser or curl,ok,"{""root_cause"": ""Static NAT entry for 192.168.10.100 is missing, so external traffic cannot be translated to the internal server"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show ip nat translations shows (no static entry for 192.168.10.100)"", ""next_command"": ""show running-config | section ip nat inside source static"", ""fix_steps"": [""Configure static NAT: ip nat inside source static 192.168.10.100 interface <outside> 80"", ""Verify port forwarding: ip nat inside source static 192.168.10.100 interface <outside> 80"", ""Test external access with a web browser or curl""], ""category"": ""NAT""}"
C027,Wireless,"SSID 'CorpNet' is configured with broadcast-ssid disable, so the AP does not advertise the network to clients",Layer 2,high,show running-config | section dot11 shows ssid CorpNet with broadcast-ssid disable,show dot11 ssid CorpNet,"Enable SSID broadcast: interface dot11 ssid CorpNet, broadcast-ssid enable | Save configuration: write memory | Verify clients can now see the SSID",ok,"{""root_cause"": ""SSID 'CorpNet' is configured with broadcast-ssid disable, so the AP does not advertise the network to clients"", ""osi_layer"": ""Layer 2"", ""confidence"": 0.9, ""evidence"": ""show running-config | section dot11 shows ssid CorpNet with broadcast-ssid disable"", ""next_command"": ""show dot11 ssid CorpNet"", ""fix_steps"": [""Enable SSID broadcast: interface dot11 ssid CorpNet, broadcast-ssid enable"", ""Save configuration: write memory"", ""Verify clients can now see the SSID""], ""category"": ""Wireless""}"
C028,Wireless,Clients are using an outdated WPA2 passphrase; AP deauthenticates them after retry limit.,Layer 2,high,"AP log shows %DOT11-4-MAXRETRIES: Packet to client failed retry limit, deauthenticating, indicating authentication failure.",show dot11 associations,Update client SSID password to match AP's new passphrase | Verify AP configuration: dot11 ssid <name> authentication open key-management wpa psk <new-passphrase> | Reboot or reconnect clients to reauthenticate,ok,"{""root_cause"": ""Clients are using an outdated WPA2 passphrase; AP deauthenticates them after retry limit."", ""osi_layer"": ""Layer 2"", ""confidence"": 0.9, ""evidence"": ""AP log shows %DOT11-4-MAXRETRIES: Packet to client failed retry limit, deauthenticating, indicating authentication failure."", ""next_command"": ""show dot11 associations"", ""fix_steps"": [""Update client SSID password to match AP's new passphrase"", ""Verify AP configuration: dot11 ssid <name> authentication open key-management wpa psk <new-passphrase>"", ""Reboot or reconnect clients to reauthenticate""], ""category"": ""Wireless""}"
C029,ACL,"No ACL configured to block inter‑VLAN traffic, allowing Guest VLAN 50 to reach internal VLAN 20",Layer 3,high,"show access-lists output is empty and both VLAN SVIs are up, yet a laptop on VLAN 50 can reach a server on VLAN 20",show ip interface brief,Create an ACL that denies traffic from 192.168.50.0/24 to 192.168.20.0/24 | Apply the ACL inbound on the VLAN 50 SVI (or outbound on VLAN 20 SVI) | Verify that the guest cannot ping the internal server using ping from a VLAN 50 host,ok,"{""root_cause"": ""No ACL configured to block inter\u2011VLAN traffic, allowing Guest VLAN 50 to reach internal VLAN 20"", ""osi_layer"": ""Layer 3"", ""confidence"": 0.9, ""evidence"": ""show access-lists output is empty and both VLAN SVIs are up, yet a laptop on VLAN 50 can reach a server on VLAN 20"", ""next_command"": ""show ip interface brief"", ""fix_steps"": [""Create an ACL that denies traffic from 192.168.50.0/24 to 192.168.20.0/24"", ""Apply the ACL inbound on the VLAN 50 SVI (or outbound on VLAN 20 SVI)"", ""Verify that the guest cannot ping the internal server using ping from a VLAN 50 host""], ""category"": ""ACL""}"
